sentence,label,phrase,keyword_count,sentence_length
"i would also love working as a park ranger and protect our national parks which sometimes get disturbed by us humans by leaving trash, not being cautious with fires and more.",0,"['I want to learn more about this beautiful planet and how it works. We as humans have been treating it bad in the past years and I would want to have a career in something to which I am able to give back to earth and help heal it. Although I know just me as 1 person I cannot do much, but I hope to achieve something in which generations after me could continue doing and we hopefully help heal earth one step at a time. I would also love working as a park ranger and protect our national parks which sometimes get disturbed by us humans by leaving trash, not being cautious with fires and more. I would love to retire when I am older as a park ranger and live in a national forest.']",0,174
i would love to retire when i am older as a park ranger and live in a national forest.,0,"['I want to learn more about this beautiful planet and how it works. We as humans have been treating it bad in the past years and I would want to have a career in something to which I am able to give back to earth and help heal it. Although I know just me as 1 person I cannot do much, but I hope to achieve something in which generations after me could continue doing and we hopefully help heal earth one step at a time. I would also love working as a park ranger and protect our national parks which sometimes get disturbed by us humans by leaving trash, not being cautious with fires and more. I would love to retire when I am older as a park ranger and live in a national forest.']",0,86
sebastian johnson phys 112.03 912020 why am i here?,0,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],0,51
"i see this as a very existentialbroad question, why am i here in the class or why am i here in general.",0,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],0,103
im here in class because i want to learn more about physics and further my education in s.t.e.m. this class is one of the classes i need to gain my biology degree or transfer.,1,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],4,175
i plan to transfer to uc berkeley with this as one of my classes.,0,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],0,65
"im here at sf state because this university has a great biology department, i want to leave because what my passion is neuroscience, sf state doesnt provide that major.",0,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],2,168
"for the more existential point of view, of why am i here? i feel i am here to create positive change in the world, to have an impact on others.",1,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],0,143
i already have plans to create a program to help black students in a way that hasnt been thought about previously.,0,['Im here in class because I want to learn more about physics and further my education in S.T.E.M. This class is one of the classes I need to gain my biology degree or transfer.'],0,114
"why am i here, i feel i am here to further my understanding of physics to qualify for my major of zoology.",0,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",2,106
"aside from that, i'm here in college to better myself for the future and hopefully find a career that not only pays well but also i enjoy a lot.",1,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",1,144
my life has led up to college and i have been looking for career paths i could actually see myself working in.,0,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",1,110
a stepping stone into the major of biology is a better understanding of the world and its laws first before diving further into the life that inhabits the earth.,0,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",2,161
my hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class i have taken in my life.,0,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",1,186
"i want to be able to truly feel like i belong in the stem field and to do that i need to understand the maths that are required for stem. with the support of my teachers and peers, i will come away from this class successfully.",0,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",0,227
the reason why i am here is because i want to pursue my dreams of becoming a pediatrician.,1,['The reason why I am here is because I want to pursue my dreams of becoming a pediatrician. I also love working with children so being a pediatrician is what im looking forward to for my future job.'],0,90
to me getting an education is really important.,0,['The reason why I am here is because I want to pursue my dreams of becoming a pediatrician. I also love working with children so being a pediatrician is what im looking forward to for my future job.'],1,47
"i don't want to struggle like my mom did, and im hoping to re pay her back for everything that shes done for me.",0,['The reason why I am here is because I want to pursue my dreams of becoming a pediatrician. I also love working with children so being a pediatrician is what im looking forward to for my future job.'],0,112
i also love working with children so being a pediatrician is what im looking forward to for my future job.,0,['The reason why I am here is because I want to pursue my dreams of becoming a pediatrician. I also love working with children so being a pediatrician is what im looking forward to for my future job.'],0,106
i am here because i plan on going to medical school after i receive my bachelor's degree.,1,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",3,89
i have been working on my prerequisites since my freshman year in addition to my major coursework.,0,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",2,98
"since i'm working on the prerequisites aside from my major courses, i have been taking overload courses since starting college.",0,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",2,127
i normally take between 1822 units a semester.,0,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",0,46
"i find this challenging as i am also working (sometimes 23 jobs), but i enjoy the challenge and i know it will get me where i want to be.",0,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",0,137
"this is my first physics course, so i am nervous with how it will go as the lecture portion appears to be moving quickly (or maybe i'm still trying to settle in).",0,"[""I am here because I plan on going to medical school after I receive my bachelor's degree.""]",1,162
"the question, ""why am i here?"" is a pretty deep question.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,57
i dont know if this question ponders why we are alive today in this world or why we are in this class.,0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,102
"i think im in this class because i want to get a degree in the sciences, but, i ultimately dont know if this is really what i want to do.",1,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",1,137
"science has always been something that ive had a great interest in, which is why im currently a biology major.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",2,110
"i havent taken a great interest in any other subject, really.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,61
"why i am here, on earth, i dont know.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,37
"id like to think that i have the answer to that, but the reality is i dont know if i ever will.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,95
"though, i think its okay not to know the origins of life or why were here.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,74
what matters is that we still live life in a moral and ethical manner.,0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,70
"i think life is rather short, so we should use our time with it wisely.",0,"['I think Im in this class because I want to get a degree in the sciences, but, I ultimately dont know if this is really what I want to do.']",0,71
i am in this course because it is a required course.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],0,52
i made a choice to continue my education after high school.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],2,59
i am here because i want to be here as i create the life i want to live.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],0,72
physics can be confusing at times but i enjoy the math part of it for the most part.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],1,84
i am also here to further my education so i can work in the medical industry.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],2,77
i enjoy helping and taking care of others.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],0,42
growing up i helped my mom care for herself as she battled cancer and helping seemed so natural to me.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],0,102
my goal in life is to ensure i live a life my mom would be proud of.,0,['I am here because I want to be here as I create the life I want to live. I am also here to further my education so I can work in the medical industry. My goal in life is to ensure I live a life my mom would be proud of.'],0,68
"today, i'm here as a fourth year senior trying to graduate on spring.",1,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",1,69
taking this class because i need to meet sfsu kin major requirement and also my dpt program requirements.,0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",2,105
sitting here in my desk doing a physics lab online is something i never though about and never thought i would do this.,0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",1,119
i didn't know if science labs are ok to do in online.,0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",0,53
"but here we are doing the lab online.due to covid that we never expected, i'm sitting here in my room taking class online because all of the campuses are closed due to the virus.",0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",0,178
"i'm sitting here thinking that when we will go back to normal and able to go to class at campus, and hang out with friends without bring worried about the virus that is going around.",0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",0,182
im here to finish the lab today and get the assignment done for this class.,0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",0,75
trying to be successful during this class so that i could take physics 2 and finish my requirements.,0,"[""Today, I'm here as a fourth year senior trying to graduate on spring.""]",2,100
"i""m at sfsu because i love the opportunities that the city offers and the diverseness as well.",0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",0,94
i am a biology major because science has always been my favorite subject.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",2,73
"i want to get into medicine whether that be an md, midwife, or any other higherlevel job.",1,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",0,89
as a biology major one of the requirements is physics.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",4,54
i have been worried to take this class as physics is always regarded as one the harder subjects you can take.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",1,109
now that i have math done it is the only subject that i am worried about not being able to understand.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",0,102
"because of these worries, i will go above and beyond to ensure that my knowledge of these concepts is strong before attempting to learn a new one.",0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",0,146
as the knowledge i learn in this class will completely determine how well i do in the next physics course.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",1,106
having a good understanding of physics will also help me in my biology career as they share many of the same aspects.,0,"['I want to get into medicine whether that be an MD, midwife, or any other higherlevel job.']",3,117
i am here because i have a goal of becoming a physical therapist.,1,['I am here because I have a goal of becoming a physical therapist. To be able to do so I need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.'],0,65
to be able to do so i need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.,0,['I am here because I have a goal of becoming a physical therapist. To be able to do so I need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.'],1,129
at first i did not understand why this course was a requirement but now know that it is crucial to know physics to be able to understand how and why things move and to what extent that movement effects the thing or object.,0,['I am here because I have a goal of becoming a physical therapist. To be able to do so I need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.'],2,222
"i have began to open my mind to the idea of becoming well acquainted with physics, even though i am scared of how hard it might be.",0,['I am here because I have a goal of becoming a physical therapist. To be able to do so I need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.'],1,131
i am willing and able to put in the time necessary to do well in the course.,0,['I am here because I have a goal of becoming a physical therapist. To be able to do so I need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.'],0,76
"i am here because i have a dream, and in order to reach that dream i have to make certain steps.",0,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",0,96
one is take up the major leading to my dreamkinesiology.,0,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",1,56
"in order to be fully enrolled my major, i need to meet few prerequisites and one fo them is physics 111112.",0,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",3,107
i am here because part of reaching that dream is not only to follow steps without learning from them.,0,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",0,101
"i am here because i want to learn and gather experiences so that when i need them someday, i am able to apply it in life and help make me a wiser and better version of myself.",0,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",0,175
"now that i am here, i am one step closer to my dream to become a successful physical therapist in the future.",1,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']",0,109
i am here to fulfill my major requirements.,0,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",2,43
other than that i chose to take physics because i took it in high school and i really enjoyed it.,0,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",2,97
i love to learn about science and why things in the world around us behave the way they do.,0,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",0,91
i am at sf state because i want to further my education and hopefully become a doctor one day.,1,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",2,94
i am also here because i want to be the first in my family to attend and graduate from college.,1,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",1,95
"i'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.",0,"[""I am at SF state because I want to further my education and hopefully become a doctor one day. I'm here to learn and prepare myself for the future by gaining more learning skills such as problem solving, teamgroup work activities and critical thinking.""]",0,157
"i am here to finish my studies in pursuit of achieving an environmental sciences degree, though, i am still unsure of exactly where id go in the field and what directly interests me, i still feel i have time to figure this out.",1,"['I am here to finish my studies in pursuit of achieving an Environmental Sciences degree, though, I am still unsure of exactly where Id go in the field and what directly interests me, I still feel I have time to figure this out.']",1,227
"talking with an advisor in the department would help, which im grateful that the scheduling is finally available now.",0,"['I am here to finish my studies in pursuit of achieving an Environmental Sciences degree, though, I am still unsure of exactly where Id go in the field and what directly interests me, I still feel I have time to figure this out.']",0,117
i am required to take this class for my major but also to reach my goals such as attending med school.,0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",2,102
i am here to learn more about physics and more about the way it plays a role in our daily lives.,0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",1,96
"i am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out.",0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",0,137
"i am here to learn how gravity plays a role in our lives, our bodies, and in space.",0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",0,83
"i am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor.",1,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",1,149
a semester closer into helping others.,0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",0,38
"i want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives.",0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",0,130
a big goal but it is also what motivates me to continue my daily routine.,0,"['I am required to take this class for my major but also to reach my goals such as attending med school. I am here to learn more about physics and more about the way it plays a role in our daily lives. I am here to learn how things in this world work and how everything functions, who figured certain aspects in forces, mechanics, etc out. I am here to learn how gravity plays a role in our lives, our bodies, and in space. I am here because this class is a stepping stone to my future goals and this will help me get a bit closer, a semester closer into becoming a doctor. I want to help others get better, have hope that they can overcome a disease such as cancer, and try to give children their lives. A big goal but it is also what motivates me to continue my daily routine.']",0,73
i feel like why am i here is a very straightforward question to so many people but it can mean so many things.,0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,110
"the way i interpret it as is, why am i here in the world today.",0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,63
"well, for one i believe that i have a purpose, as does everyone else.",0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,69
i want to make a change in the world thats so big that everyone would be happy with.,0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,84
i really want to be a nurse in my future and i was to show the goodness in my heart to others and show them that i am there to help them.,0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,137
who knows maybe one day i will actually go off and create or find a cure for something like diabetes or cancer and i can be the one who was put here on this earth to fulfill something big in life.,0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,196
i feel like i am here to serve a purpose and show people what i can provide and who i am.,0,['I really want to be a nurse in my future and I was to show the goodness in my heart to others and show them that I am there to help them. Who knows maybe one day I will actually go off and create or find a cure for something like diabetes or cancer and I can be the one who was put here on this earth to fulfill something big in life.'],0,89
"in terms of physics, i'm here because i am hoping to go to medical school and become a pediatrician.",1,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",3,100
even though i'm a psychology major hahaha.,0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",1,42
"i don't have some big life defining event that made me want to be a doctor, but i do have a bunch of little things!",1,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",1,115
"i'm hoping to have a good foundation of psychology before working with children because i believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.",0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",0,246
i want to advocate for them learning about mental health and taking it seriously.,0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",0,81
"also, i'm a week away from being a certified emt which is exciting!",0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",0,67
"in terms of sfsu, i'm here to save money.",0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",0,41
"with sfsu i'm able to live at home and save a lot of money that way, even though it does affect my mental health to be honest.",0,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",0,126
"it definitely was not my top choice school, but if i'm trying to apply and go to medical school i definitely need to save as much money as i can.",1,"['In terms of physics, I\'m here because I am hoping to go to medical school and become a pediatrician. I don\'t have some big life defining event that made me want to be a doctor, but I do have a bunch of little things! I\'m hoping to have a good foundation of psychology before working with children because I believe it is important for them to learn about mental health, and not be invalidated by others when it could be more than ""teen angst"" or any other excuse.']",2,145
"my name is arnie maravillas and i am a first generation college student here at sfsu. i am at this college because i want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so i can have the knowledge required to be an adequate member of my society.",1,"['I am at this college because I want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so I can have the knowledge required to be an adequate member of my society. With these tools that I hope to sharpen up during my time here at sf state I would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.']",2,312
i believe that i am seeking the tools to help me with my craft as i venture into life.,0,"['I am at this college because I want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so I can have the knowledge required to be an adequate member of my society. With these tools that I hope to sharpen up during my time here at sf state I would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.']",0,86
"with these tools that i hope to sharpen up during my time here at sf state i would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.",0,"['I am at this college because I want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so I can have the knowledge required to be an adequate member of my society. With these tools that I hope to sharpen up during my time here at sf state I would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.']",1,181
i think being her stands as a reminder that i would like to integrate myself into something bigger than me.,0,"['I am at this college because I want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so I can have the knowledge required to be an adequate member of my society. With these tools that I hope to sharpen up during my time here at sf state I would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.']",0,107
i want to give back to the people that helped raise me and i would enjoy being a symbol of hope for the youth (younger generation) especially given the culture and beliefs that surrounded our upbringing.,0,"['I am at this college because I want to further my education through this institution in hopes of graduating with a bachelors, and masters soon after, so I can have the knowledge required to be an adequate member of my society. With these tools that I hope to sharpen up during my time here at sf state I would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.']",0,203
"i am here at sf state because i am here to learn and improve my skills and gain experience needed for the career i want to pursue, as well as other skills that will be helpful in the future.",1,"['I am here at SF State because I am here to learn and improve my skills and gain experience needed for the career I want to pursue, as well as other skills that will be helpful in the future. Some goals I have are to make more friends and to be able to graduate and earn my degree.']",1,190
