sentence,label,phrase,updated_label,reasoning
i feel that everyone has a purpose on this earth and my reason here is to have a name for myself.,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to inspire others and help them have what i never had.,1,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
and by that i mean learn things i never had someone tell me.,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"one day when i am not on this earth anymore, i want people to remember me for something i did in my life that inspired them.",1,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i have always wanted to help people out.,1,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i was born in afghanistan in a house during the warzone in 1996.,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
you may ask why i was born in a house?,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth.",0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
they are short in women doctors there and many children die during birth because they are being born at home.,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
and my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.,0,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"first off, i am at this university so i can get a proper education.",0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
my knowledge about various topics has grown immensely in the past 4 years of university.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
overall i see my education as a gateway to help others in need.,1,['Overall I see my education as a gateway to help others in need'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i have known from a very young age that i want to help people.,0,['Overall I see my education as a gateway to help others in need'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i believe that the best way to achieve this goal is to through an education.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i think it will increase the magnitude of the impact on others lives.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i have hopes of getting into a career in healthcare.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"secondary, i am here to learn.",0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"it was not always as apparent to me what the purpose of education was in high school, i felt like learning in high school was a little mechanical, and about moving through the motions.",0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
it was not until college that i learned the applicability of a good education.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"it applies to just about everything in my daily life, especially subjects like math and science.",0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
university has taught me the applicability of these subjects subtly.,0,['Overall I see my education as a gateway to help others in need'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am in physics 2 because i need it for my major.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am a biology major with a focus in zoology and i am very passionate about animals and conservation.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to one day be able to work handson with animals that need help to be rehabilitated in their natural environment.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i have a strong interest in focusing on mammals or marine biology when it comes to an even more specific focus.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i love being able to spend time with amazing animals that most people do not think about on a daily basis.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i think that people do not realize how much influence they have on living things around them.,0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.",0,"['I want to be able to educate people on the environment around them and how their actions can affect thousands of other living creatures. I think that people do not realize how much influence they have on living things around them. Especially in this day and age, we (as a population) need to be more aware of what we are doing to the earth and all of its inhabitants.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the question seems quite broad and i dont know exactly how to answer this question.,0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"however, off the top of my head after hearing this question, i instantly think about how i am here because it was a class that i needed to take as part of my major.",0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"in the sense of answering why i am here in regards to the class, i am here because i would not have learned new material if i did not show up to the class.",0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"in a different and more general sense of why i am here, well, i know that i am here because i have given this gift of life and i try my best to make the best of it everyday.",1,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
"i know that sounds cliche, but it is true.",0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"there are so many bad days that i encounter, but when a good day comes along, it seems almost worth it.",0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i actually dont exactly know why i am here.,0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i just know that since i am here, i need to make the most out of my time.",0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
you never really know what is to come in the next day or so and i happened to learn that the hard way.,0,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"that being said, i have came across various situations where peoples lives have been taken too early on and because of those experiences, i know how important it is to value living and being here.",1,"['In a different and more general sense of why I am here, well, I know that I am here because I have given this gift of life and I try my best to make the best of it everyday.', 'That being said, I have came across various situations where peoples lives have been taken too early on and because of those experiences, I know how important it is to value living and being here.']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
i am here because i want to further my education.,0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be able to continue my passion for learning because i think that it is amazing to have a growth mindset.,0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the ability to always learn more than what you did yesterday amazes me.,0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i do believe knowledge is power and amazing things can be done with the right knowledge.,0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here because i want to eventually get to a place where i can help people.,1,['I am here because I want to eventually get to a place where I can help people.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"i always visited mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families.",0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i want to be able to do probono work for families in mexico, while also being a pa in the us. that is why i am here, and why i want to learn what i can.",0,['I am here because I want to eventually get to a place where I can help people.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i know my father didnt get the opportunity to do so and now i want to be the one to help as much people as i can.,0,['I am here because I want to eventually get to a place where I can help people.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"i think this is kind of a hard question to answer, but if i were to take this the lesscorny and clich route id say that im here because of my family, and im thankful that theyve sheltered me and provided for me to be where i am today.if i were to actually think of why im here today, im here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others.",1,"[""There needs to be more positivity in life and I feel like if I can even try to make that impact on others around me then I'm fulfilling my life purpose."", 'm here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
i recently learned in philosophy about why were here and what makes a meaningful life.,0,"[""There needs to be more positivity in life and I feel like if I can even try to make that impact on others around me then I'm fulfilling my life purpose."", 'm here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"being able to cherish others and value others is something that gives me a reason to care about life, and i dont feel that i should just live a life for myself since i feel it wouldnt be much of a meaningful life if im only fulfilling things that make me satisfied.",0,"[""There needs to be more positivity in life and I feel like if I can even try to make that impact on others around me then I'm fulfilling my life purpose."", 'm here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
there needs to be more positivity in life and i feel like if i can even try to make that impact on others around me then im fulfilling my life purpose.,1,"[""There needs to be more positivity in life and I feel like if I can even try to make that impact on others around me then I'm fulfilling my life purpose."", 'm here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
why am i here?,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to work on my civil engineering degree.,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
engineering is a field that has interested me and i am excited to learn more about it.,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i am taking physics to not only fulfill a requirement for my degree, but i am also wanting to learn more about how things work and move.",0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be able to understand it at a level that will help me in a future career.,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am excited about civil engineering because i am excited to be able to support and help towns and cities on a very practical level.,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
with the knowledge and understanding that an engineering degree will bring me i will be able to help solve many problems.,0,['Civil engineering because I am excited to be able to support and help towns and cities on a very practical level. With the knowledge and understanding that an engineering degree will bring me I will be able to help solve many problems.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
parts of why i am here has a lot to do with the universe and life trials that lead me astray just to bring me back to pursue my education but as a computer science major this time.,0,"['It is really important to have meaningful projects to apply what we are learning because we can help our society in some way. I always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see. I am not just here but I am present, to learn what I can to help the world in my own way through science, through justice, and from the heart.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"although physics is a requirement for my major, i love science and always have as a child growing up.",0,"['It is really important to have meaningful projects to apply what we are learning because we can help our society in some way. I always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see. I am not just here but I am present, to learn what I can to help the world in my own way through science, through justice, and from the heart.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i am more present than before now that i have an internship at ucsf to do medical research, which is amazing because now i can actually apply what i am learning to something meaningful to help others by giving a voice to under represented minorities in and through research. it is really important to have meaningful projects to apply what we are learning because we can help our society in some way.",0,"['It is really important to have meaningful projects to apply what we are learning because we can help our society in some way. I always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see. I am not just here but I am present, to learn what I can to help the world in my own way through science, through justice, and from the heart.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see.,0,"['It is really important to have meaningful projects to apply what we are learning because we can help our society in some way. I always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see. I am not just here but I am present, to learn what I can to help the world in my own way through science, through justice, and from the heart.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i am not just here but i am present, to learn what i can to help the world in my own way through science, through justice, and from the heart.",0,"['It is really important to have meaningful projects to apply what we are learning because we can help our society in some way. I always think if every class on campus took real life issue and had their classes look for solutions to solve them and actually apply them in our city what beautiful change we could see. I am not just here but I am present, to learn what I can to help the world in my own way through science, through justice, and from the heart.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am here because i have goals and ambitions that i want to achieve to make my support system happy.,0,['Peoples lives matter to me and i want to make a change.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
my support system is my parents.,0,['Peoples lives matter to me and i want to make a change.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
yes they did encourage and force me to choose my major but i do find interest in it.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to live to my full potential not anyone who has talent and knowledge and not apply it to their life.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to do that by implementing these qualities to my daily life to become who i want to be.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be an engineering for the future.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
but currently right now i found another purpose of my years here.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be part of a community and make an impact in it.,0,['Peoples lives matter to me and i want to make a change.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
peoples lives matter to me and i want to make a change.,1,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
i dont want to be known as that person who is something in particular.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be known as that person who is something and did something about it.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want a title but the authority to be that person.,0,['Peoples lives matter to me and i want to make a change.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i feel like the reason i am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.,1,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
finding my purpose to live is an ongoing thought that i dont think about everyday but is a thought in the back of my head when i wake up every morning.,0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"since i am pursuing a degree in computer engineering, my goal after graduating was to work for a gaming companies such as zynga, activision, or blizzard, but my side goal was to give back to low income communities that arent technologically advanced.",0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"id want to teach kids how to program, code, and how to think because technology is going to be everywhere.",0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the only tech course i had growing up was in middle school and i only learned how to type and navigate through a computer.,0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
so id want to fund a course that would teach more computer science to kids either in a curriculum or at an after school program.,0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
in the end i would want to leave a legacy so my kids know that i did my work on this planet and to influence them to want to leave their mark.,0,['I feel like the reason I am on this planet is to try to impact the others around me in a positive way and to leave this world in a better condition that it already is.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the question why am i here? is a very broad question.,0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the way i interpret the question is either as a philosophical question or asking why i am actually in the class.,0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"to answer why i am in a physics course, it is simply because it is a prerequisite for my engineering courses.",0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am in physics 230232 because i have to take this class in order to take other classes for the future.,0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"however, to answer it philosophically, i dont know why i am here.",0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"although, i do believe that everyone has their own purpose and that life has a way of leading you to where you need to be.",0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
maybe i am here because there is something important that i need to do with my life.,1,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
"this means that i cannot waste my life and have to live my life to the fullest, whether that be doing something that i love for the rest of my life or just experiencing new things and having fun in general.",0,['Maybe I am here because there is something important that I need to do with my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to help secure a future that i want to have.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
my parents want me to have a future that is secure for me as do i. they gave me an opportunity to further my education by letting me come to college and supporting me through the journey.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i want to be able to get a degree and have an impact on society some way.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
either helping make roads better or building homes for people i want to make an impact in this era.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i also want to be able to teach people what i know from coming here.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
to spread what i learned from coming to a university and teaching it to them.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
my parents were not able to get an education from theyre country so they decided to give it to me.,0,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the reason i am here is to make an impact in society and to make my parents proud of securing a future.,1,"['The reason I am here is to make an impact in society and to make my parents proud of securing a future.', 'I want to be able to get a degree and have an impact on society some way. Either helping make roads better or building homes for people I want to make an impact in this era.']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
"i dont know whether here refers to this class or this college, so i will answer both.",0,"['As most know right now, the environment is pretty fucked. From my standpoint, humanity needs to find a way to be less wasteful with their resources. Since using less is most likely not an option, I want to learn more about how electricity is produced and how it can be made more efficiently. A large amount of CO2 is made by burning fossil fuels. If we can reduce how much we use, then how much waste we produce is also cut down. That way we can reduce the amount of pollutants that we make and hopefully our race will live past the year 2100.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here in this class to learn more about physics in a physical way rather than in pure equations and numbers.,0,"['As most know right now, the environment is pretty fucked. From my standpoint, humanity needs to find a way to be less wasteful with their resources. Since using less is most likely not an option, I want to learn more about how electricity is produced and how it can be made more efficiently. A large amount of CO2 is made by burning fossil fuels. If we can reduce how much we use, then how much waste we produce is also cut down. That way we can reduce the amount of pollutants that we make and hopefully our race will live past the year 2100.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
