Original Sentence,Duplicate Sentence,Similarity Score
i believe i am here in order to figure out what i want to do with my life.,i am here to figure out what i want to do with my life.,85
i am here to graduate.,i am here to create.,85
why am i herei am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,i am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,94
why am i herei am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,i am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,94
"i also want to get a better educations, get a better job, preferably one with advancement opportunities.","i also want to get a better educations, get a better job, prferably one with advancement opportunities.",100
well thats why im here,that's why i'm here.,87
well thats why im here,that's why i'm here.,87
or why am i in this class?,but why am i in this class?,86
or why am i in this class?,why am i here in this class?,85
or why am i in this class?,why am i here in this class?,85
"first of all, i am in this class to get as much help as i can with biology.","first of all, i am in this class to get as much help as i can with chemistry.",88
"bio is not easy for me at all, i like it, but it has been one of the hardest subjects for me since high school.","chemistry is not easy for me at all, i like it, but it has been one of the hardest subjects for me since high school.",94
"i am currently a biol physio major, which means i have to take gened bio whether i like it or not.","i am currently a biol physio major, which means i have to take chemistry whether i like it or not.",91
"first of all, i am in this class to get as much help as i can with chemistry.","first of all, i am in this class to get as much help as i can with biology.",88
"chemistry is not easy for me at all, i like it, but it has been one of the hardest subjects for me since high school.","bio is not easy for me at all, i like it, but it has been one of the hardest subjects for me since high school.",94
"i am currently a biol physio major, which means i have to take chemistry whether i like it or not.","i am currently a biol physio major, which means i have to take gened bio whether i like it or not.",90
i am here because i am lucky enough to have the opportunity to attend a school in a nice city thats not too far from home.,i am here because i am lucky enough to have the opportunity to attend a school in a nice city.,87
i am here because i am lucky enough to have the opportunity to attend a school in a nice city.,i am here because i am lucky enough to have the opportunity to attend a school in a nice city thats not too far from home.,87
i am here because this class is a prerequisite for my major.,i am here because this class is a prerequisite for my kinesiology major.,91
i am here because this class is a prerequisite for my major.,i am here because this class is a requirement for my major.,91
i am here because this class is a prerequisite for my major.,i am here because this class is required for my major.,91
i am here because this class is a prerequisite for my major.,i am here in this physics class because it is a prerequisite for my major.,89
i am here because this class is a prerequisite for my major.,i am here because it is a prerequisite for my major courses.,88
i am here because this class is a prerequisite for my major.,i am here because i am required to take this class for my major.,87
i am here because this class is a prerequisite for my major.,im here because this class is a requirement for my major.,87
i am here because this class is a prerequisite for my major.,i am here because it is a class that is required for my major.,85
i am here because this class is a prerequisite for my major.,i am here because this class is a requirement for my biology major.,85
i am looking forward to learn about physics in your class.,i am looking forward to learn new things about physics in your class.,91
i am looking forward to learn new things about physics in your class.,i am looking forward to learn about physics in your class.,91
"i am here to learn more about science, because i have enjoyed science since elementary school, but i can only continue to learn more of it if i go to college.","i am here to learn more about science,because i have enjoyed science since elementary school, but i can only continue to learn more of it if i go to college.",95
"i want to get into medical school not to make anyone proud even though it is a plus, but i want to do it for myself, because i have seen many md in different positions in the medical field doing their job and they even show me things that sparks my curiosity and interest even more in science so it just make sense for me want to go to medical school, because that is where there are hands on learning of different positions of the medical field.","i want to get into medical school not to make anyone proud even though it is a plus, but i want to do it for myself, because i have seen many md in different positions in the medical field doing their job and they even show me things that sparks my curiosity and interest even more in science so it just make sense for me to go to medical school, because that is where there are hands on learning of different positions of the medical field.",99
"i am here to learn more about science,because i have enjoyed science since elementary school, but i can only continue to learn more of it if i go to college.","i am here to learn more about science, because i have enjoyed science since elementary school, but i can only continue to learn more of it if i go to college.",95
"i want to get into medical school not to make anyone proud even though it is a plus, but i want to do it for myself, because i have seen many md in different positions in the medical field doing their job and they even show me things that sparks my curiosity and interest even more in science so it just make sense for me to go to medical school, because that is where there are hands on learning of different positions of the medical field.","i want to get into medical school not to make anyone proud even though it is a plus, but i want to do it for myself, because i have seen many md in different positions in the medical field doing their job and they even show me things that sparks my curiosity and interest even more in science so it just make sense for me want to go to medical school, because that is where there are hands on learning of different positions of the medical field.",99
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
but why am i here?,why am i here?,87
i am here because i have to be.,im here because i have to be.,93
i am here because i have to be.,i am here because i want to be here.,86
i am here because i have to be.,i am here because i chose to be here.,85
i am here because i want to do better.,i am here because i want to do better in chem 115.,86
why are we all here?,why are we here?,88
why am i at san francisco state university?,why am i attending san francisco state university?,92
why are we here?,why are we all here?,88
