Alma ID,Essay: Why I am here?,Navigational
S19.PHYS112.07.03,"I am in San Francisco State because I really love San Francisco. I loved how lovely the city is and how convenient transportation is. I don’t need a car to get around the city because of the bus, and Bart, and, there are so many fun areas. I feel happy being able to explore and have fun. I am also in San Francisco State because I really felt like it was the right school for me. The school is a good size, and has a lot of amazing buildings. Everything is convenient. I was able to live close to school, and if I am ever hungry or need supplies, I love how there are stores nearby. I feel like I am able to succeed as a Biology major in this school. I like all the clubs the school has, the programs, and the internships. I am also in San Francisco state because the tuition is not too expensive. Another reason why I am in San Francisco state because some of my high school friends were also planning to attend the school. ","I loved how lovely the city is and how convenient transportation is. I don’t need a car to get around the city because of the bus, and Bart, and, there are so many fun areas. /%/ I am also in San Francisco State because I really felt like it was the right school for me. The school is a good size, and has a lot of amazing buildings. /%/ I feel like I am able to succeed as a Biology major in this school. /%/ I am also in San Francisco state because the tuition is not too expensive. "
F19.PHYS112.01.01,"I am taking this physics class because I need it to get my general education classes finished. This is the last of my GEs that I have to take and I am hoping to finish everything on a good note. I took physics in high school and really enjoyed it, so I am hoping that the experience extends into college. I am nervous about how I'll perform in this class because I tend to struggle with my science courses. I want to do really well because I have managed to do well in science even though I do not get the grades that I would prefer. I want to be able to get everything finished in four years, so I have been getting all my upper division and general ed. classes done in about one year of university.†","I want to be able to get everything finished in four years, so I have been getting all my upper division and general ed. classes done in about one year of university"
F19.PHYS112.01.02,"I am here because not only it is require for my major but to understand more about physics on a university level that I will fully experience for the first time. I am not new to physics as I took it during my Senior year in high school. As a General Biology major, taking this course is very important so that I can learn more skills in physics, have a better understanding the science of physics and how it affects our surroundings on Earth.†","I am here because not only it is require for my major but to understand more about physics on a university level that I will fully experience for the first time. As a General Biology major, taking this course is very important so that I can learn more skills in physics, have a better understanding the science of physics and how it affects our surroundings on Earth."
F19.PHYS112.01.03,I am here in this physics lab because it's a requirement for my major. I am nervous about taking a physics courses because I have never taken one before. In high school i opted out of physics and took courses like physiology and forensics science. I have always been afraid of the math portion of physics because math isnít my strong suit. Since entering my fourth year of college I have greatly expanded my math boundaries but I am still nervous. Physics 1 and Physics 2 are requirements to get into UCSFís physical therapy program so Iím not going to let my fear of math stand in the way of my goals. I hope this physics lab and the physics lecture will help to boost my self confidence. I am excited to enter into a new field of study that I have never actually learned before. Making real world connections between what I learn in the class room and all the types of physics around me everyday will be very interesting.,I am here in this physics lab because it's a requirement for my major. /%/ Physics 1 and Physics 2 are requirements to get into UCSFís physical therapy program so Iím not going to let my fear of math stand in the way of my goals.
F19.PHYS112.01.04,"I'm here because it's a requirement for my major which is biology physiology, I dont think I would take this course just for fun. I never took physics in high school i dont know what physics is going to be like but i hope i have fun and enjoy the class. I like labs where is hand ons or visual so hopefully this class is like that. In bio 240 I didnt had a great time because we learned about animals and insects and plants which is dry labs and are boring, so I hope this class is fun.",I'm here because it's a requirement for my major which is biology physiology
F19.PHYS112.01.05,"The reason why I am in this class is because of how I know that this will assist me in reaching my goal. Since my major is Pre-BioChemistry, taking this class will assist me in my completing one of my major classes required for me to graduate. I took the prerequisites class last year in order to join this class. It will be very helpful to me since I have much to learn in physics. This class is also extremely helpful because it helps me review what I learned in lecture and use what I learned in class  to solve for how to do the labs within this class. Lab classes as well help give insight into what we were learning and focusing. It goes further into the theories and definitions and I believe it is important for me to learn those from this class. I look forward to working with everyone in class and maybe make some friends along the way as well."," Since my major is Pre-BioChemistry, taking this class will assist me in my completing one of my major classes required for me to graduate. I took the prerequisites class last year in order to join this class."
F19.PHYS112.01.06,"I am here today to learn more about physics, which is required for my major in biology. I am here in this lab because it is also required as part of the Physics lecture. I suppose I am also here because lab is a physical reminder and helps learning the core concepts that is being discussed in lecture. I am here because I want to learn more about all types of science and one day go into my field of study and being happy and successful. Honestly I'm also here because I want to give physics another chance, especially in a college setting as it's very different from learning it in high school. It also helps to further understanding about how the world works around us and connects with both chemistry and biology. It's something that will help me for my chosen field and hopefully give me a new view about Physics and other scientific subjects. Other than that, I guess Iíd rather do physics than a second semester of Calculus. ","I am here today to learn more about physics, which is required for my major in biology. I am here in this lab because it is also required as part of the Physics lecture."
F19.PHYS112.01.07,"I am here to pass Physics so that I can move on with my major and graduate faster. However, I am looking forward to learn Physics so that I can apply to what I do in the future. As a Human Physiology student, I know Physics is essential to better understand the mechanism of how the human body works.†",I am here to pass Physics so that I can move on with my major and graduate faster. 
F19.PHYS112.01.08,"I am here in Physics 112 lab because it is a requirement for my major for Microbiology. Aside from it being a part of my major, I am also curious to know how a subject such as Physics relates to my concentration of study, and what aspects of this course is necessary for me to know that will help me in my career. I am also here to enhance my learning for this subject as well. I know I have taken AP Physics in the past in high school, but have struggled along the way and barely passed. I am hoping that this course will be different, and will go more in depth to know how certain things work. I mainly want to emphasize more on the formula usage in this course as that is what I have struggled most on in the past. Knowing what formulas to use, and to know when it is the appropriate time to use it.","I am here in Physics 112 lab because it is a requirement for my major for Microbiology. Aside from it being a part of my major, I am also curious to know how a subject such as Physics relates to my concentration of study, and what aspects of this course is necessary for me to know that will help me in my career."
F19.PHYS112.01.09,"I am taking this class because I want to enhance my understanding of physics. I have taken conceptual physics last semester and I really enjoyed the class. Therefore it sparked my interest to learn more about how things works and their relationship. Also, I am taking this class to fulfill my pre-requisites. I used to hate physics at high school because the teacher was not passionate about teaching. So the class was boring and I did not get the chance to fully enjoy the fundamental understanding of physics until I attended SFSU. I hope that by taking this lab class will help me have a better understanding of motion and the way how things works. I really hope that †everything I get to learn about in this class would be helpful to be applied to our everyday life situations. Applying the laws of physics to our everyday life like Newtonís laws.†"," I have taken conceptual physics last semester and I really enjoyed the class. Therefore it sparked my interest to learn more about how things works and their relationship. Also, I am taking this class to fulfill my pre-requisites. I used to hate physics at high school because the teacher was not passionate about teaching. So the class was boring and I did not get the chance to fully enjoy the fundamental understanding of physics until I attended SFSU."
F19.PHYS112.01.11,"Today I am in my physics class because it is part of a series of science classes I have to take for my major. I have never taken physics so I am not exactly sure what to expect. However, I am vaguely aware that it deals with motion, speed, and pressure.",Today I am in my physics class because it is part of a series of science classes I have to take for my major.
F19.PHYS112.01.12,"In all honesty I am not really a big fan of physics. I've only had one previous encounter with physics before this class and it wasn't a pleasant experience. However I was much younger then so it is very possible that I was just not ready for that kind of material because physics is a very challenging subject. I am a little bit worried about my performance in this course but I can't really get around it. So, I suppose I'm here because I have to take this course in order to graduate. My apprehension towards physics isn't because I find it to be particularly boring or anything negative like that, I simply just find it to be intimidating due to my past experiences. But I'm hopeful that this semester I will find a way to appreciate physics because I love learning and I can't really picture my life as being anything other than a student.†",I'm here because I have to take this course in order to graduate.
F19.PHYS112.01.13,I am here to learn about physics and take this course to help finish my prerequisites for my major. I have not taken physics since freshman year of high school and I think it will be good to learn everything I have forgotten over the years again. Hopefully I can use the lab portion of the course to help me better understand the lecture portion and physics overall. I also have not done an actual physics lab in a while so I think it will be interesting to see what we learn about in action.,I have not taken physics since freshman year of high school and I think it will be good to learn everything I have forgotten over the years again.I am here to learn about physics and take this course to help finish my prerequisites for my major.
F19.PHYS112.01.15,"I am here to gain the skills I need to pass the Physics portion of the MCAT and enter Medical School. My goal is to become a surgeon, either Cardio or General Surgery. The reason I desire to go to Medical School is because I feel that it is what I meant to do. It is apart of my identity, and it allows me to connect with a piece the piece of humanity I thought I had once lost. In a lot of ways, I guess, my intentions for wanting to become a surgeon are a little selfish. I desire to help others, because in a way it helps me become a better person. To grow, to feel, to care, be apart of something that is far bigger than myself. Taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual. I just hope I can pull it off.","I am here to gain the skills I need to pass the Physics portion of the MCAT and enter Medical School. Taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual"
F19.PHYS112.01.16,"Why am I here?I'm here because I need this class to graduate, but to zoom out, I'm in school to succeed. I am here to learn beyond my prior knowledge. I am here so that I am can become confident in speaking up and sharing my thoughts in an organized structure. I am here so I am knowledgeable enough to transform and create ideas and creations.†",I'm here because I need this class to graduate
F19.PHYS112.08.02,"I am here in this PHYS111 Lab to learn more about physics through physical, on hand activities and experiments. Although concepts in physics sometimes confuse me, I hope that doing lab activities will help me understand them better by seeing everything work right in front of me. Physics is something that applies to all of us in day to day life, thus being in this class, it would be interesting to see which rules of physics are being applied in what we do. In addition, Phys111 is a course that I have to take in order to take other classes in my major. I am here at San Francisco State to further my education and learn more in order to continue on my path to a good career that I will hopefully enjoy.","In addition, Phys111 is a course that I have to take in order to take other classes in my major."
F19.PHYS112.08.03,"I was originally a general biology major. As a freshman, I contemplated whether or not I should choose a concentration. I discussed the different pathways with my parents. My sisters, friends, etc. The difference between a general biology major versus something like cell molecular biology is that you go more into depth with calculus, physics, and chemistry. My goal is to become a veterinarian and I knew that I didnít just want to just do the minimum of work. I wanted to challenge myself and I wanted to perform at my absolute best. I decided to change my major to Zoology and I'm working towards a minor in chemistry. I'm often asked by my friends why I have to calculus and physics courses. When will I ever be using these subjects as a zoology major? All of it is intertwined. It is a universal language. And they are essential to one's academic success. I'm here because I want to be challenged academically and I want to build my own deep rooted foundation as an undergrad taking Physics 111/112.","I was originally a general biology major. As a freshman, I contemplated whether or not I should choose a concentration. /%/  My goal is to become a veterinarian and I knew that I didnít just want to just do the minimum of work. I wanted to challenge myself and I wanted to perform at my absolute best. I decided to change my major to Zoology and I'm working towards a minor in chemistry."
F19.PHYS112.08.04,"I am here because I have to fulfill the prerequisites for my major. This PHYS 112 lab is corresponding to the lecture class PHYS 111, which are the prerequisites I have to fulfill. My major is microbiology. I chose this major because I love studying chemistry, organic chemistry, and human biology, typically involving the cells and microbes part. The previous physics class I took was 5 years ago in high school during my sophomore year. At that time, the general concepts were not difficult for me to understand. However, I am not very confident at my physics skill level because I havenít been learning any physics subject within these 5 years.In this course, I expect to learn something new that can connect to my daily life. One of the skills to learn, I believe, is to connect with something that you already know or something that you can think of.","I am here because I have to fulfill the prerequisites for my major. This PHYS 112 lab is corresponding to the lecture class PHYS 111, which are the prerequisites I have to fulfill. My major is microbiology"
F19.PHYS112.08.05,"For a question with only four words, it is deep (for me). I am here because it is a requirement for my major, which is Pre-Biology and most importantly for medical school. I have never taken Physics in my life until now. I did not have a chance to take in high school since it was full. Taking Physics now in college terrifies me knowing that I do not have any knowledge from it at all. I hope calculus will support my learning in this course in any shape or form. Even though it terrifies me, I am still willing to learn Physics. I know that this different field of science will give another perspective of how I will see the world, the universe, and how everything works from force to gravity to energy and beyond. Lastly, I am going to learn Physics with purpose. I don't want to be here because it is a ""requirement"" but I want to be here because I want to learn from it. A class is more than just a requirement, rather it is a door that leads you to a new understanding of the world around you.","I am here because it is a requirement for my major, which is Pre-Biology and most importantly for medical school."
F19.PHYS112.08.06,"Well, I think the obviously answer -and probably the one that comes up the most- is that this class is required for my major. In fact, I was very much NOT excited to have to take a physics class, even though obviously it makes sense to have a fundamental understanding of the subject in any other scientific field. Still, I had a very annoying experience in high school with physics. Overall, I did fine in the class, I guess, especially since it was an AP class. But it was the course I most remember as being frustrating and hard to understand. I vividly recall the only time I have ever BS-ed on an academic test which involved the displacement of a snake. (Instead of answering, I just drew a picture of a sleepy snake that never left his nest (i.e. displacement of zero). Turns out the answer was zero but not because the snake was sleepy.) Plus, we had to make a lot of little 'machines"" like a mousetrap car and, for some reason, I WAS NEVER ANY GOOD AT THAT. Again, frustratingly so. I hold out hope that this course can maybe reverse some of this resentment towards physics?",I think the obviously answer -and probably the one that comes up the most- is that this class is required for my major
F19.PHYS112.08.07,"I am here because I enrolled in the Phy-112 class. This lab course is a concurrent enrollment course to the Phy-112 course. So I am here in this class.Technically I am here because I chose my major. And this course is meant to help my major, or I think it should help. Also, this course is a pre-requisite to many other major. Just in case I changed my mind then I can still save some time if I decided to change my major.I don't know if physics is hard or fun. But I am somewhat interested in physics because it also helps me with my readings. When I was reading The Three Body Problem, there are many things that I cannot understand because of my lack of knowledge in the physics field. In order to finish reading the book, I have to take this class.","Technically I am here because I chose my major. And this course is meant to help my major, or I think it should help. Also, this course is a pre-requisite to many other major. Just in case I changed my mind then I can still save some time if I decided to change my major. /%/ But I am somewhat interested in physics because it also helps me with my readings. When I was reading The Three Body Problem, there are many things that I cannot understand because of my lack of knowledge in the physics field. In order to finish reading the book, I have to take this class"
F19.PHYS112.08.08,"""Why am I here?""I am taking physics 112 as a major requirement and a prerequisite for later in my college education. I am here to learn introductory physics to excel my learning for higher up physics class and to help with other classes. I am a bio major so a lot of my courses through college will be science classes and need prerequisite to read higher up in that field as chem has many different courses but needs prerequisite to unlock them.Also I am taking calculus and chemistry and these courses kind of go hand in hand so it helps taking physics to get a better grasp of topics. In these 3 classes we are talking about velocity at the moment which really helps me grasp more of an understand of the topic taking these courses. Furthermore, taking this class will help me clear prerequisite for high education as medical school as their is certain prerequisites that have to be cleared before applying or your chances will be dimmed.","I am taking physics 112 as a major requirement and a prerequisite for later in my college education. /%/ Furthermore, taking this class will help me clear prerequisite for high education as medical school as their is certain prerequisites that have to be cleared before applying or your chances will be dimmed."
F19.PHYS112.08.09,"""Why am I here?""Such an abstract question; why am I here on this Earth right now? How did I come to be here? Why am I currently sitting in this chair in this classroom on this campus, and how did I come to be here? The answer is in no way short or linear, to any of these questions even the most straightforward on, but I don't think many things are? At least not that I've seen.Part of the answer has some basis in how I came to be on this Earth, I think. I owe it in large part to my mom. I'm here because of her in the most simplistic, biological sense but also in every other sense; spiritual, emotional and so much more. I exist thanks to her, and in a lot of ways I believe that the purpose, more than how I came to be, is driven by her own existence. I owe everything to her, my life, every opportunity that I've had would not exist because of her and I think I will spend my entire life trying to show her that everything she's done has been worth it and meaningful. My number one fear and inspiration (could they be the same thing) is not making her (and my dad) proud.I've also grown to see her, and my other immediate family simply ""exist"" to continue existing, and my Dad has always instilled a ""follow your dreams""optimism. I want to do more than exist, I want to be happy and I want to have purpose. And from a very young age I've found so much purpose and happiness in the connecting with and healing of animals and people. In so many ways, as cheesy and campy as it sounds, I think its my fate. Like its what I am here to do, why I'm here, if you will. There have been so many hurdles already, and I'm hardly halfway to where I want to end up, but its my commitment to this dream and aspiration that has brought me thus far. As unattainable as it has seemed at times, I've trained to maintain the idea that my dream is indeed attainable. Dreams require steps and hurdles like taking physics classes towards a degree, towards eventually (hopefully, maybe) a doctorate.","Dreams require steps and hurdles like taking physics classes towards a degree, towards eventually (hopefully, maybe) a doctorate."
F19.PHYS112.08.10,"I am here to fulfill a requirement I have in order to continue my path. My end goal is to be a n OB-GYN. I counted not fit this into my two year journey at the community college I was in, so I had to complete it after I transferred. With all that being said, I actually enjoy this class (lecture) so far because of the instructor. She seems like she actively cares about her students and wants them to succeed. I don't know what to expect for physics since the last physics course I took was in high school, which was more of a tutorial period then and actual class. Tying back to the prompt, I am here to learn some physics and further myself in my academic journey.","I am here to fulfill a requirement I have in order to continue my path. My end goal is to be a n OB-GYN. I counted not fit this into my two year journey at the community college I was in, so I had to complete it after I transferred."
F19.PHYS112.11.01,Im here because I want to pursue a degree in biology. There are certain classes I need to take in order to move forward. Physics is one requirement. I do enjoy this subject mostly because it explains certain everyday motions. I like to relate what I learn to everyday activities because it is easier to remember and understand.i have only taken one physics class besides this one and so far itís a good time. I like the lab portions.†,There are certain classes I need to take in order to move forward. Physics is one requirement. 
F19.PHYS112.11.03,"Iím here at SFSU because I want to get my bachelors in Child and Adolescent Development. Iím taking this Physics course because it is a prerequisite for medical school. Iím majoring in Child and Adolescent Development but, I plan to pursue higher education and get into the medical field. For this reason, I plan to take all the prerequisites for Med school. I also enjoy physics. I took a physics course in high school and it wasnít as hard as I thought. So far, Iím enjoying physics. I need to complete one year of physics in order to meet the requirements for medical school.†"," Iím majoring in Child and Adolescent Development but, I plan to pursue higher education and get into the medical field. For this reason, I plan to take all the prerequisites for Med school.  /%/ I need to complete one year of physics in order to meet the requirements for medical school.†"
F19.PHYS122.01.02,"I am here to take this physics class so I can graduate with a degree from San Francisco State University. I am studying physiology in hopes of going to medical school to become an oncologist. Iíve seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My first step to getting there is obtaining my undergraduate degree, which requires for me to past this Physics 122 course. Iím currently in my fourth year which wonít be my last since I will need another year to pass my majorís required classes. I believe I will succeed in making my goal of becoming a doctor because I havenít had anything stop me in the past. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to come-by. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed. I feel like I will pass this lab with ease since I was able to pass the previous lab without a problem!","My first step to getting there is obtaining my undergraduate degree, which requires for me to past this Physics 122 course. Iím currently in my fourth year which wonít be my last since I will need another year to pass my majorís required classes. "
F19.PHYS122.01.03,"[Student Name] PHYS-122 Journal Reflection 1  ìWhy am I here?î  This is an interesting question. Very broad. In general, I would say that I am here because my parents both decided to emigrate to San Francisco; my father came from Lima, Peru; my mother came from Manila, Philippines. There is a certain pressure put upon many first generation children to thrive for the sake of the family. Iíve been thinking about that a lot these past couple years. I wonder how this pressure has affected my development, and in what ways (if any) do I plan to fulfill these generational wishes. Looking back, I would say this pressure to succeed for the family is a big part of why I studied STEM in college instead of the regular hobbies I had growing up: literature and music. It seemed like the responsible decision to make. The alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment.          Granted, this sounds like a concerning motivation for education, but I must now tell you that I still felt a sense of agency in this decision. It was my decision to study microbiology specifically. I purposely chose not to be a nurse. After a couple internships in laboratories I found out just how much I love doing research. I find it therapeutic to deliberately and thoroughly research a single topic in the lab. My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.","The alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment. Granted, this sounds like a concerning motivation for education, but I must now tell you that I still felt a sense of agency in this decision. It was my decision to study microbiology specifically. I purposely chose not to be a nurse. After a couple internships in laboratories I found out just how much I love doing research. I find it therapeutic to deliberately and thoroughly research a single topic in the lab. "
F19.PHYS122.01.05,"As a Kinesiology major, the main reason I am taking this class is that it is a prerequisite for Physical Therapy school. I know that this class is necessary for me to become a competitive student when time comes for me to apply to graduate school. While I am not the best when it come to the realm of physics, I know this class will help me gain better insight on scientific applications and improve my skill set in mathematical computation and analysis. I also know that Physics 2 is a very different breadth of study than Physics 1, so I am also interested in expanding my knowledge in physics in general. I would like to see how the concepts I learn here can apply to everyday situations. I hope that after taking this class I would be more confident in tackling physics problems and applying it further in my field especially since I am interested in Biomechanics.","As a Kinesiology major, the main reason I am taking this class is that it is a prerequisite for Physical Therapy school. I know that this class is necessary for me to become a competitive student when time comes for me to apply to graduate school. "
F19.PHYS122.01.07,"Iím here because I want to pursue a career in the medical field. My major is biology with a concentration in physiology and this major is a pathway towards my career goal. More specifically, this class will get me one step closer to my career goal because this class is one of the required classes for my major. I loved my physics one very much however I disliked the lab part of the course so I am hoping that this lab course is better. I really like doing experiments and engaging with other individuals, Iím hoping that this class will consist of much of that. I am in this class to learn about topics that I have never put much thought into before. The last lab was pretty interesting and I enjoyed it because I got to communicate with my partners to try to figure out the work in front of us and that is what I hope will continue to happen in this class, this Is why I am here.","My major is biology with a concentration in physiology and this major is a pathway towards my career goal. More specifically, this class will get me one step closer to my career goal because this class is one of the required classes for my major."
F19.PHYS122.01.09,"I am here because I want to be. In terms of taking a physics lab, it is because it counts towards  my major which is biology in concentration with physiology. This is my second semester of  physics and do I like it? Not so much, because I did not have the best teacher my first semester  and it was quite challenging for me. However, I am here because I have goals and I want to  pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor. I  have a passion for babies and I myself when I was born, was born in a car, so I was incubated for  about a month because I did not have much oxygen, so it was a scary moment for both my  parents. I want to one day be able to save hundreds and even thousands of lives and especially  travel to third world countries and help out kids who do not have the resources to medicine.","In terms of taking a physics lab, it is because it counts towards my major which is biology in concentration with physiology.  /%/ I am here because I have goals and I want to  pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor. "
F19.PHYS122.01.10,"Why are you here? I am here in this lab class because this physics course is a requirement for my major ñbiology. I have taken the prerequisite course to this, and I am currently enrolled in the lecture portion of the class. And this particular lab section was the only one that fin in my schedule. I am taking this class because it is one of the last lower division requirements that I have to meet for my biology major to continue on to more in depth upper division courses .I am also in this class because I decided not to take physics with calculus, even though it probably would have made it easier for me if I did because I already had taken calculus a few semesters ago and got an A in it, so now I had to take general physics two without calculus because I had taken general physics one without calculus.","I am here in this lab class because this physics course is a requirement for my major ñbiology. I have taken the prerequisite course to this, and I am currently enrolled in the lecture portion of the class. And this particular lab section was the only one that fin in my schedule. I am taking this class because it is one of the last lower division requirements that I have to meet for my biology major to continue on to more in depth upper division courses "
F19.PHYS122.01.11,"I am here because of my parents, my parents fled their country in hopes to start a family where they can provide a better future for my brother and I. Growing up in Vietnam was a struggle for them, dropping out of high school so that they could start working instead to help provide for their families. My parents both didnít want their kids to live through the same struggles that theyíve went through so they packed their bags and started a new life in America, even if it meant for them to start with nothing up. This is why Iím here at San Francisco State University majoring in Biology concentration in Physiology to in hopes one day become a pediatric nurse and to work as hard as I can so that one day I could return something back to my parents and make them proud for what theyíve given up for me to live a better life.","My parents both didnít want their kids to live through the same struggles that theyíve went through so they packed their bags and started a new life in America, even if it meant for them to start with nothing up. This is why Iím here at San Francisco State University majoring in Biology concentration in Physiology to in hopes one day become a pediatric nurse and to work as hard as I can so that one day I could return something back to my parents and make them proud for what theyíve given up for me to live a better life."
F19.PHYS122.01.13,"I am in this physics lab because I need it for my major. But, on a broader scale, I am here dedicating my time and resources to this class because it was ultimately my choice. I made a choice to go to college because I see how difficult my parents and grandparents work without a college education. Also, over the summer I volunteered in Thailand and one thing that I did there was teach in the schools. Being there really pushed me and helped me realize how fortunate I am with the education opportunities that I have. Those kids that I taught (ranged from the ages three through twelve) would hike three hours in the jungle every single week to stay in the dorms to get an education. These students in Thailand have taught me to be thankful for the opportunity I have to be able to go to college.",I am in this physics lab because I need it for my major.
F19.PHYS122.01.16,"I am here in this class to fulfill the requirements of UCSFís Physical Therapy School. I understand that they want to make sure that I have a certain level of academic competence by getting an excellent grade in second semester Physics. After all, their program is intense, and they want to make sure that I am able to keep up with their curriculum. I am confident in my academic abilities as I boast a 3.89 GPA with 135+ units under my belt while doing extracurricular activities like being a president of a school club and working 30+ hours a week. Being able to do well in a challenging class like Physics II will further validate that I am able to excel in a challenging curriculum and will further convince UCSF that I am a good fit for their program. It also shows academic/mental flexibility as Physics is not related to the profession I am pursuing. By doing well in Physics II, I am also able to show UCSF that I can excel in material that I am not passionate about and this is telling them that I can do well even if the topics that they might teach me is not particularly exciting in my opinion.",I am here in this class to fulfill the requirements of UCSF's Physical Therapy School 
F19.PHYS122.01.17,"Why am I here? Thatís a difficult question to answer. If by here, you mean to ask why I am alive  at this place and time, then I donít know. I donít believe I have any higher purpose and that Iím  only here because of chance and the odds being in my ìfavor.î If by here, however, you mean to  ask why Iím in this class, itís because I have to be. Iím a biology major and itís a requirement,  but I can at least admit I enjoy doing physics labs. Sometimes I enjoy them more than Biology  labs because theyíre more chill and you donít have to follow a strict dress code. I chose this  major because I enjoy science and as much as I wish I was good at it, I suck at math. I still think  physics is awesome because itís a lot easier for me to comprehend and explain problems with  real life situations.",I'm a biology major and it is a requirement
F19.PHYS122.01.18,"Iím here because I need this class is a prerequisite for my major. I did not enjoy phys 111 it was hard for me. I heard this class is different compared to phys 1. I am excited about that, but I bet itís still as hard. I enjoy learning about physics, donít get me wrong, but it takes me a while to get the hang of things. Now if the question is referring to why am I attending sfsu in San Francisco, Ca. I would say that I am here because this city really captured me ever since I came to visit, Iíve always thought it was amazing city. I feel really blessed to be here because itís a city where I have developed myself as an adult. Although expensive, itís definitely worth it in my opinion, at least to go to college to. Iím attending SFSU because I am trying to get a major in physiology. Biology/science has always been my passion. Itís hard but itís the one subject that doesnít hurt to study for. I think the reason Iíve always liked science is because thereís never a moment where it doesnít fascinate me. My mind is always blown when Iím learning new topics regarding the subject. Whether itís anatomical or regarding the earth everything has an explanation, even the smallest thing and that never fails to surprise me.",I'm here because I need this class is a prerequisite for my major.
F19.PHYS122.01.19,"I am here in this class because it is a requirement for me to move on to my other major courses. I have little to no interest in this class. Iím not too sure if medicine is what I want to pursue, but if it is then I have to know physics for the MCAT. If that is the case then I need this class to better prepare me for the physics portion of the MCAT. I am a biology major so this is the last physics course I would need for the remainder of my undergrad. I waited quite some time to take physics in my undergrad because Iíve had bad experiences in the past and the many times I enrolled in physics the professors I was stuck with were some of the worst professors Iíve ever taken here at SF state. I didnít want to put myself through a course where the professor made physics (an already difficult subject) even more difficult.",I am here in this class because it is a requirement for me to move on to my other major courses. /%/ I have to know physics for the MCAT /%/ I am a biology major so this is the last physics course I would need for the remainder of my undergrad.
F19.PHYS122.01.21,"I am taking physics 121 because it is a requirement for going into graduate school for physical  therapy. For my physics is very difficult to first comprehend which discourages me a lot. I took  general physics 1 and I was confused on how it related to my goals. However, the more  invested I became in my future career the more I noticed that physics plays a significant part  especially when I took biomechanics. Now with the understanding of where physics falls on my  plan to physical therapy, my views have improved. This motivates me to try my hardest to learn  this material so it can help me later.  Physics 2 is difficult but instead of giving up like before,  my attitude includes ambition and determination. The real reason I am actually here is to learn  how to be a better physical therapist in the future by understand the foundations of  biomechanics through physics.",I am taking physics 121 because it is a requirement for going into graduate school for physical therapy.
F19.PHYS122.01.22,"I am in physics 2 because I need it for my major. I am a biology major with a focus in zoology  and I am very passionate about animals and conservation. I want to one day be able to work  hands-on with animals that need help to be rehabilitated in their natural environment. I have a  strong interest in focusing on mammals or marine biology when it comes to an even more  specific focus. I love being able to spend time with amazing animals that most people do not  think about on a daily basis. I want to be able to educate people on the environment around  them and how their actions can affect thousands of other living creatures. I think that people do  not realize how much influence they have on living things around them. Especially in this day  and age, we (as a population) need to be more aware of what we are doing to the earth and all  of its inhabitants.",I am in physics 2 because I need it for my major.
F19.PHYS122.01.23,"I am in this course and in this university in order to accomplish my goals. Taking this course is a part of my requirements for my major which is physiology. My goal is to become a pediatrician and there are many courses which I have to take in order to work towards that goal. By being in this class I am also able to apply what I learn in lecture to real life models and cases. It is important to be able to relate the way in which these different theories are a part of the real word and our life. I have to be able to see and understand the different concepts which I learn in my different classes not just physics necessarily, but rather all the courses which I am taking. I have learned that many of the different courses actually are related with each other despite being about different concepts.",Taking this course is a part of my requirements for my major which is physiology. My goal is to become a pediatrician and there are many courses which I have to take in order to work towards that goal. By being in this class I am also able to apply what I learn in lecture to real life models and cases. It is important to be able to relate the way in which these different theories are a part of the real word and our life. 
F19.PHYS122.01.24,"Why am I here?         I am here because I need to take 2 semesters of physics with lab as a requirements for the Grad program I want to get into. The specifics of physics hold very little importance in my mind, Even if the entire body runs on it I donít need to know how the electric fields of the heart interact because that is only peripherally what I am studying. I do like some math stuff but I have a hard time understanding physics the way it is taught.",I am here because I need to take 2 semesters of physics with lab as a requirements for the Grad program I want to get into
