Alma ID,Essay: Why I am here?,Perseverance
S19.PHYS112.02.05,"I am here at SFSU because I want to make a difference in the world. I plan on having a career in the medical field and the classes I am taking as of now are my first steps to getting there. So far my college experience has been really fun and I enjoy it out here in San Francisco. While some classes have been challenging, I enjoy the process of learning new things and overcoming these obstacles. Living on my own has also taught me a lot, for example it has helped me with my time management, budgeting, and other adult things. My main goal in college is to be successful in whatever it is that I decide to do because it is only my first year and who knows where life will take me. So basically, I am really excited for my college journey.","While some classes have been challenging, I enjoy the process of learning new things and overcoming these obstacles"
S19.PHYS112.02.10,"I am here for the sole purpose of reaching my goal of graduating with a kinesiology degree. For that to be accomplished I have to be present and do my part in taking these classes that include physics along with others such as biology and chemistry. I am here to learn and develop my knowledge in every aspect possible to be able to take it out into the real world. With my knowledge I plan to help out others in whatever career path I decide to go through whether that be a physician’s assistant or a physical therapist. Although sometimes it can be very overwhelming I know that me being here will pay off one day and I can look back and be proud of my accomplishments and everything I did to get to that point. Overall, I am here to prepare myself for what is to come in the future. ",Although sometimes it can be very overwhelming I know that me being here will pay off one day and I can look back and be proud of my accomplishments and everything I did to get to that point.
S19.PHYS112.02.12,"The reason I am here, taking this physics lab and lecture is because I am a biology major, and it is one of the classes needed for me to take in order to move up to taking higher classes. I honestly didn’t know anything about physics before taking the class, since I never took a class in high school. I can honestly say this is one of the hardest classes I’ve taken so far, since I had trouble understanding since day one lecture. I am here taking this class because I am genuinely interested in being a scientist, though. I know it takes time and patience to get to where I want to be, but I know I can achieve once I get my head straight and focus enough. In the future, I’m hoping to be in the medical field, specially working in sonography. My aunt is someone I look up to since she is a radiologist at the Stanford Medical Center in Palo Alto. I want to be able to follow in her steps and to make my family and her proud. She’s someone who highly supports me getting a college education and she is one of the reasons I continue to push myself even when things get difficult. In conclusion, that is why I’m here, to work with sonography and to make my family and even myself proud.","I know it takes time and patience to get to where I want to be, but I know I can achieve once I get my head straight and focus enough."
S19.PHYS112.02.13,"I am in physics because it is required by my major. I'm an environmental science major and physics isn't directly related to what I want to be studying, I can understand why it's required. I think learning the basics of how the world works around us is very important. I've never taken a physics class before so most of this information is new to me but I find it very interesting. I do enjoy learning more about science in general. Science can be applied to so many aspects of our lives, especially physics. I hope that through this class my understanding of the subject really grows. I find the subject challenging, so I definitely have a lot of room to grow in it. I don't see myself taking any more physics classes in the future, but I plan to do my best in this one. Hopefully, with more effort, I will be successful in this class.","I find the subject challenging, so I definitely have a lot of room to grow in it. Hopefully, with more effort, I will be successful in this class."
S19.PHYS112.02.19," I’m not quite sure what the question is referring to but if it is in regards at where I currently live the answer would be that I am here in San Francisco, CA because I decided to attend college here. I am attending school because I want to have a career in dentistry. I decided to come to San Francisco State University because I wanted to experience a new community. I figured if there was a time for moving out it would be best after high school. I really am proud on the decision I made because moving to a new city really helped me evolved as a person. I’ve had some struggles that naturally come with moving away from family but they’ve really showed me how hard it is to be an adult and that it’s not going to get easier. Anyway, I am currently here essentially because I care about my future career but also because I want to experience changes throughout my life not just be stuck in one place.",I’ve had some struggles that naturally come with moving away from family but they’ve really showed me how hard it is to be an adult and that it’s not going to get easier.
S19.PHYS112.02.20,"I am in this physics class because it is required as a part of my lower division pre req's. I want to pursue a major in biology, specifically physiology. Physics is not my favorite subject because it involves a lot of math that I do not enjoy doing. It is also very difficult for me to understand since it does not spark my interests. Since it is a prerequisite, I am going to have to suck it up and try my best in order to be successful in my college journey. However I need to try my best in this class and I make sure to make going to class a priority since listening to the lectures are very important. I expect my professors in both lab and lecture and able to be prepared before the actual class and I also expect them to grade everyone with the equality and fairness. Lastly, I hope I am able to learned from the labs and have the professor help the entire class throughout the lab as a whole group. Not only having a good grade is the goal in this class, but to be able to gain the knowledge and the tools to help me in the long run.","Physics is not my favorite subject because it involves a lot of math that I do not enjoy doing. It is also very difficult for me to understand since it does not spark my interests. Since it is a prerequisite, I am going to have to suck it up and try my best in order to be successful in my college journey."
S19.PHYS112.02.21,"I am here because I want to further my education and expand my knowledge. I am here because I am working hard to make something of myself. I want to be successful and happy in my career as a Marine Biologist and I want to make my parents proud. Going to college was an easy choice for me because I’ve seen what could happen if you don’t work hard and chase your dreams. I want to help change our world for the better and I don’t want to end up living a life that I’ll regret. I am here to prove that I can do anything I set my mind to, not only to others, but to myself as well. I wouldn’t be here if it wasn’t for my parents’ constant support financially, physically, and mentally. I am grateful for everything they have done and will do to get me where I need to be. ","I am here to prove that I can do anything I set my mind to, not only to others, but to myself as well. "
S19.PHYS112.06.01,"I have spent a good amount thinking hard about this question and I still can not manage to answer it properly. When I think about “Why am I here,” many questions arise like why am I in this class? Why did I chose to take a career path that requires this course? I am currently a junior at San Francisco State and I am taking this course to fulfill my prerequisites to apply for medical school. As an environmental studies major, taking a physics course is not in my core classes nor is it an elective for my major. I’m not a huge fan of physics largely because it been a subject that has been extremely difficult for me. This is my first time taking physics in college and it been a rough start but I am hoping I can understand and learn from it. ",This is my first time taking physics in college and it been a rough start but I am hoping I can understand and learn from it.
S19.PHYS112.06.02,"I enrolled into the physics 112 lab course at SFSU, to complete a major requirement for general biology, however it is also required that I take physics 111 and thus is essential for me to take 112. Building off that, in essence, I am in this course to complete the graduation requirements for my major. Physics has always been a subject I have had trouble with. Going into this course I feel uncertain about how well I will do, since the last time I took this class was in high school. Even though this isn’t a course I took for myself, I only registered to satisfy school requirements, I’m putting all my effort to learn more about physics and how to apply this information to the world and to my major. I may be thinking now that I will not use this information outside of this class however, if I eventually learn this to not be true I will be grateful for having taken this course and being prepared for my career even more. ",I’m putting all my effort to learn more about physics and how to apply this information to the world and to my major.
S19.PHYS112.07.02,"I am here at San Francisco State to get by Bachelor’s degree in General Biology. When I chose this major out of interest I didn’t look into how challenging it is. I want to be a veterinarian since I was little and it seems to be the only thing I want to do. It is also good for me because I have always been good in the science and mathematics field. It’s still a challenge and I am not extremely good, but I know that if I try my best I can still achieve decent grades. So far in my college career I have managed to get okay grades but still succeed when I am not doing so well in a class. I love biology and chemistry isn’t my favorite but it’s easier for me to understand than any other major not in the STEM field. Last semester I took physics 111 and I didn’t think it would be as hard as it was. The last time I took physics was my freshman year of high school so I could’ve used a refresher. Although I failed most of the test I began to go in for help and spend more time, maybe sometimes six hours a day trying to understand the concepts. I didn’t have time for the lab, therefore, I am took it this semester. It would have probably helped me get a better grade in the lecture class to take them together, but it wasn’t as bad as I thought to just take the lab which also serves as a refresher for my next semester taking physics 121 and physics 122. ","It’s still a challenge and I am not extremely good, but I know that if I try my best I can still achieve decent grades. So far in my college career I have managed to get okay grades but still succeed when I am not doing so well in a class."
F19.PHYS112.01.03,I am here in this physics lab because it's a requirement for my major. I am nervous about taking a physics courses because I have never taken one before. In high school i opted out of physics and took courses like physiology and forensics science. I have always been afraid of the math portion of physics because math isnít my strong suit. Since entering my fourth year of college I have greatly expanded my math boundaries but I am still nervous. Physics 1 and Physics 2 are requirements to get into UCSFís physical therapy program so Iím not going to let my fear of math stand in the way of my goals. I hope this physics lab and the physics lecture will help to boost my self confidence. I am excited to enter into a new field of study that I have never actually learned before. Making real world connections between what I learn in the class room and all the types of physics around me everyday will be very interesting.,ím not going to let my fear of math stand in the way of my goals. 
F19.PHYS112.01.08,"I am here in Physics 112 lab because it is a requirement for my major for Microbiology. Aside from it being a part of my major, I am also curious to know how a subject such as Physics relates to my concentration of study, and what aspects of this course is necessary for me to know that will help me in my career. I am also here to enhance my learning for this subject as well. I know I have taken AP Physics in the past in high school, but have struggled along the way and barely passed. I am hoping that this course will be different, and will go more in depth to know how certain things work. I mainly want to emphasize more on the formula usage in this course as that is what I have struggled most on in the past. Knowing what formulas to use, and to know when it is the appropriate time to use it.","I know I have taken AP Physics in the past in high school, but have struggled along the way and barely passed. I am hoping that this course will be different, and will go more in depth to know how certain things work. I mainly want to emphasize more on the formula usage in this course as that is what I have struggled most on in the past."
F19.PHYS112.08.05,"For a question with only four words, it is deep (for me). I am here because it is a requirement for my major, which is Pre-Biology and most importantly for medical school. I have never taken Physics in my life until now. I did not have a chance to take in high school since it was full. Taking Physics now in college terrifies me knowing that I do not have any knowledge from it at all. I hope calculus will support my learning in this course in any shape or form. Even though it terrifies me, I am still willing to learn Physics. I know that this different field of science will give another perspective of how I will see the world, the universe, and how everything works from force to gravity to energy and beyond. Lastly, I am going to learn Physics with purpose. I don't want to be here because it is a ""requirement"" but I want to be here because I want to learn from it. A class is more than just a requirement, rather it is a door that leads you to a new understanding of the world around you.","Even though it terrifies me, I am still willing to learn Physics. Lastly, I am going to learn Physics with purpose. I don't want to be here because it is a ""requirement"" but I want to be here because I want to learn from it. "
F19.PHYS112.08.09,"""Why am I here?""Such an abstract question; why am I here on this Earth right now? How did I come to be here? Why am I currently sitting in this chair in this classroom on this campus, and how did I come to be here? The answer is in no way short or linear, to any of these questions even the most straightforward on, but I don't think many things are? At least not that I've seen.Part of the answer has some basis in how I came to be on this Earth, I think. I owe it in large part to my mom. I'm here because of her in the most simplistic, biological sense but also in every other sense; spiritual, emotional and so much more. I exist thanks to her, and in a lot of ways I believe that the purpose, more than how I came to be, is driven by her own existence. I owe everything to her, my life, every opportunity that I've had would not exist because of her and I think I will spend my entire life trying to show her that everything she's done has been worth it and meaningful. My number one fear and inspiration (could they be the same thing) is not making her (and my dad) proud.I've also grown to see her, and my other immediate family simply ""exist"" to continue existing, and my Dad has always instilled a ""follow your dreams""optimism. I want to do more than exist, I want to be happy and I want to have purpose. And from a very young age I've found so much purpose and happiness in the connecting with and healing of animals and people. In so many ways, as cheesy and campy as it sounds, I think its my fate. Like its what I am here to do, why I'm here, if you will. There have been so many hurdles already, and I'm hardly halfway to where I want to end up, but its my commitment to this dream and aspiration that has brought me thus far. As unattainable as it has seemed at times, I've trained to maintain the idea that my dream is indeed attainable. Dreams require steps and hurdles like taking physics classes towards a degree, towards eventually (hopefully, maybe) a doctorate.","There have been so many hurdles already, and I'm hardly halfway to where I want to end up, but its my commitment to this dream and aspiration that has brought me thus far. As unattainable as it has seemed at times, I've trained to maintain the idea that my dream is indeed attainable. "
F19.PHYS112.04.01,"I am here because I want to get a bachelor's degree on my major of Kinesiology. It all started ever since I got injured playing basketball. I love basketball do not get me wrong. I have always dreamed of playing basketball professionally but reality hit in where I am still working on my game while needing to find another career as a backup plan. When I got injured playing basketball, I had a chipped bone on my humerus which did not allow my arm to bend and function as smoothly. This would cause a sharp pain in my elbow whenever I would do push-ups, bench press, or simply bending my arm would result in a cracking like noise. When I went to physical therapy, my therapist and I got really close during my process of rehabilitation. After healing my elbow completely, my physical therapist taught me important tips on taking care of my body overall as well as continuing my dreams of playing basketball professionally. My overall goal as to why I am in college is to become a physical therapist. This interested me in a way where I want to help people get back to full rehabilitation physically. Also, the functions of the body interested me on how I should take care of it to the best of its ability.†","When I went to physical therapy, my therapist and I got really close during my process of rehabilitation. After healing my elbow completely, my physical therapist taught me important tips on taking care of my body overall as well as continuing my dreams of playing basketball professionally. My overall goal as to why I am in college is to become a physical therapist."
F19.PHYS122.01.02,"I am here to take this physics class so I can graduate with a degree from San Francisco State University. I am studying physiology in hopes of going to medical school to become an oncologist. Iíve seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My first step to getting there is obtaining my undergraduate degree, which requires for me to past this Physics 122 course. Iím currently in my fourth year which wonít be my last since I will need another year to pass my majorís required classes. I believe I will succeed in making my goal of becoming a doctor because I havenít had anything stop me in the past. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to come-by. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed. I feel like I will pass this lab with ease since I was able to pass the previous lab without a problem!", I believe I will succeed in making my goal of becoming a doctor because I havenít had anything stop me in the past.
F19.PHYS122.01.05,"As a Kinesiology major, the main reason I am taking this class is that it is a prerequisite for Physical Therapy school. I know that this class is necessary for me to become a competitive student when time comes for me to apply to graduate school. While I am not the best when it come to the realm of physics, I know this class will help me gain better insight on scientific applications and improve my skill set in mathematical computation and analysis. I also know that Physics 2 is a very different breadth of study than Physics 1, so I am also interested in expanding my knowledge in physics in general. I would like to see how the concepts I learn here can apply to everyday situations. I hope that after taking this class I would be more confident in tackling physics problems and applying it further in my field especially since I am interested in Biomechanics.","While I am not the best when it come to the realm of physics, I know this class will help me gain better insight on scientific applications and improve my skill set in mathematical computation and analysis."
F19.PHYS122.01.09,"I am here because I want to be. In terms of taking a physics lab, it is because it counts towards  my major which is biology in concentration with physiology. This is my second semester of  physics and do I like it? Not so much, because I did not have the best teacher my first semester  and it was quite challenging for me. However, I am here because I have goals and I want to  pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor. I  have a passion for babies and I myself when I was born, was born in a car, so I was incubated for  about a month because I did not have much oxygen, so it was a scary moment for both my  parents. I want to one day be able to save hundreds and even thousands of lives and especially  travel to third world countries and help out kids who do not have the resources to medicine.","This is my second semester of physics and do I like it? Not so much, because I did not have the best teacher my first semester and it was quite challenging for me. However, I am here because I have goals and I want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor."
F19.PHYS122.01.12,"I am here for a list of reasons. Reasons that pertain only to me and other reasons that pertain to my family or other loved ones. I am here for myself and for everyone that has supported me throughout my journey at San Francisco State. Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts. I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color. I am here to make my familyís sacrifices worth it. To show them that it is possible for us, the minority, to become leaders, role models and influencers. I am here to gain knowledge about the world, its people and most importantly, its science.  I am here to make friendships and connections. To appreciate all the unique backgrounds, cultures and experiences. Lastly, I am here because I am passionate about my education and I never want to stop learning.","Firstly, I am here to challenge myself and make myself known in the STEM field. /-/ I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color. "
F19.PHYS122.01.17,"Why am I here? Thatís a difficult question to answer. If by here, you mean to ask why I am alive  at this place and time, then I donít know. I donít believe I have any higher purpose and that Iím  only here because of chance and the odds being in my ìfavor.î If by here, however, you mean to  ask why Iím in this class, itís because I have to be. Iím a biology major and itís a requirement,  but I can at least admit I enjoy doing physics labs. Sometimes I enjoy them more than Biology  labs because theyíre more chill and you donít have to follow a strict dress code. I chose this  major because I enjoy science and as much as I wish I was good at it, I suck at math. I still think  physics is awesome because itís a lot easier for me to comprehend and explain problems with  real life situations.",Being able to do well in a challenging class like Physics II will further validate that I am able to excel in a challenging curriculum and will further convince UCSF that I am a good fit for their program.
F19.PHYS122.01.18,"Iím here because I need this class is a prerequisite for my major. I did not enjoy phys 111 it was hard for me. I heard this class is different compared to phys 1. I am excited about that, but I bet itís still as hard. I enjoy learning about physics, donít get me wrong, but it takes me a while to get the hang of things. Now if the question is referring to why am I attending sfsu in San Francisco, Ca. I would say that I am here because this city really captured me ever since I came to visit, Iíve always thought it was amazing city. I feel really blessed to be here because itís a city where I have developed myself as an adult. Although expensive, itís definitely worth it in my opinion, at least to go to college to. Iím attending SFSU because I am trying to get a major in physiology. Biology/science has always been my passion. Itís hard but itís the one subject that doesnít hurt to study for. I think the reason Iíve always liked science is because thereís never a moment where it doesnít fascinate me. My mind is always blown when Iím learning new topics regarding the subject. Whether itís anatomical or regarding the earth everything has an explanation, even the smallest thing and that never fails to surprise me.","I did not enjoy phys 111 it was hard for me. I heard this class is different compared to phys 1. I am excited about that, but I bet itís still as hard. I enjoy learning about physics, donít get me wrong, but it takes me a while to get the hang of things."
F19.PHYS122.01.21,"I am taking physics 121 because it is a requirement for going into graduate school for physical  therapy. For my physics is very difficult to first comprehend which discourages me a lot. I took  general physics 1 and I was confused on how it related to my goals. However, the more  invested I became in my future career the more I noticed that physics plays a significant part  especially when I took biomechanics. Now with the understanding of where physics falls on my  plan to physical therapy, my views have improved. This motivates me to try my hardest to learn  this material so it can help me later.  Physics 2 is difficult but instead of giving up like before,  my attitude includes ambition and determination. The real reason I am actually here is to learn  how to be a better physical therapist in the future by understand the foundations of  biomechanics through physics.","Physics 2 is difficult but instead of giving up like before, my attitude includes ambition and determination."
F19.PHYS122.01.25,"To answer this question, ìWhy am I here?î I chose to be in this class because it is a requirement to fulfill in order for me to obtain my Cell and Molecular Biology bachelorís degree. Also, it is the last Physics series I would need to complete and move on forward for additional classes until it is time to graduate from this university. It is important for me to pass this class, so that I can pursue my degree in helping me towards finding a well-paid and decent job Iím most passionate about one day. Not only for these reasons. I would like to learn other topics in relation to Physics. It may be helpful as future reference when there might be a situation or problem I may encounter in my life since some of the analysis and theories are relatable to use. Physics contains different topics that we have already covered in class and I know some are difficult to understand, I want to be able to feel confident especially when it is time for studying to do the homework and exams. I want to make sure I can understand the material well enough for me to pass this class by the end of this fall semester. It would be such a big help and difference for me when I do pass because I would then realize all of the hard work I have set was worth it. I know there will be some topics I wonít understand or have struggles on, but I want to utilize the provided resources on campus such as tutoring and attending office hours to visit the professor in discussion about my class grade standing. I hope this semester will not only challenge me but also encourage me to not give up on struggling situations and be able to preserve until the end.",I hope this semester will not only challenge me but also encourage me to not give up on struggling situations and be able to preserve until the end.
F19.PHYS122.06.02,"I am here in this class because i have to take it as a class for my major. I never understood physics growing up and it was my most hated subject. However, my opinions and views have drastically changes since starting classes at San Francisco State University. At first, i never understood what my major had to do with physics and why i even have to take it. however, now i realize that it is important supplemental material for my future in the medical industry. i realized i need to understand physics in order to help me progress my knowledge and to help me in case i one day would like to make my own scientific research. since starting physics, i understand now that almost every thing that i am going to be doing for science needs to be backed up by data and i need to understand why some things happen the way that they do. Therefore, this class will help me in depth of why everything happens the way it does. I no longer hate math or physics and i have learned to cope with them. I am now taking this class for my learning as well as for my major and i hope to do well in them. i try to do my absolute best and will continue trying to get good grades.",This class will help me in depth of why everything happens the way it does. I no longer hate math or physics and i have learned to cope with them. I am now taking this class for my learning as well as for my major and i hope to do well in them. i try to do my absolute best and will continue trying to get good grades.
F19.PHYS122.06.03,"I am here in SF state because I am pursuing my bachelor degree. I am an International student from China, and my parents send me here because they want me to have better education resources. What's more, my dream is to become a veterinarian, but in China, there is only limited program that focus on veterinarian science.†I transferred from University of California, Santa Barbara because San Francisco is the city I want to stay for the rest of my life and I love everything about SF state.†I am here because Physics 122 is one of my major lower division class. I have to do both physics 111/112 and 121/122. I still don't clearly understand how physics is related to biology and why I have to do the physics lab. However, I am also here to improve myself on both physics knowledge and practical problems solving skills. Physics has been my weakness since middle school. I am good at science classes except for physics. Every time I have to spend more effort and time to understand the physics concept and finish my homework. I am here to not only complete the course, but also improve myself and prepare for the future study and career.",I am also here to improve myself on both physics knowledge and practical problems solving skills. Physics has been my weakness since middle school. I am good at science classes except for physics. Every time I have to spend more effort and time to understand the physics concept and finish my homework.
F19.PHYS122.08.02,"Why am I here?    I am here because I am in my third year at SFSU, but it doesnít really feel like it because time  flew by so fast. This year I am taking classes that go towards my actual major which is exciting,  but itís very challenging now. I am in this Physics 122 class because I miraculously made it past  Physics 111 which is one of the hardest classes I have taken at this school. I am hoping that  this class is a little bit easier but so far I am slightly struggling also with my other classes which  is chemistry 115 and stats so there is a lot of math I need to do and know. Itís getting to be too  much, but thatís college. I am here, but I really want to go back home to San Diego and chill chill  on the beach and eat carne asada fries. That was my favorite thing to do back home in the  sunny weather because its too gloomy and cold up here.","This year I am taking classes that go towards my actual major which is exciting,  but itís very challenging now. I am in this Physics 122 class because I miraculously made it past  Physics 111 which is one of the hardest classes I have taken at this school. I am hoping that  this class is a little bit easier "
F19.PHYS122.08.05,Why are you here?  I am here because this class is one of many classes I need to take to complete a bachelor's  degree in biology. I have taken physics before and it is one of the few classes that is challenging  because of the many different ways problems can be solve and the different explanations there  is. I hope to pass this class and move on and never look back and take another physics class.  Physics is one of the classes I told myself in high school that I will never take unless I have to.  Unfortunately it is a requirement for biology major students. I will try to do my best in this physics  class so I will not have to retake it. This class is one of my most challenging courses there is for  me as a student., I have taken physics before and it is one of the few classes that is challenging because of the many different ways problems can be solve and the different explanations there is./-/ I will try to do my best in this physics class so I will not have to retake it. This class is one of my most challenging courses there is for me as a student.
F19.PHYS122.08.15,"""Why am I here?""   This essay is meant to connect you to your purpose. This is not meant to be a formal essay. It  should be stream-of-conciousness writing from the heart. You will be graded on participation  only, not on the specifics of what you say. 5 minutes of reflective journaling should result in an  essay of about 150-200 words.   After you finish your essays, we will provide some class time to discuss your thoughts, to the  extent that you feel comfortable sharing.      I entered the Physics 121/122 class with the intention to expand my knowledge about physics  with the hope that it will be different material than Physics 111/112. I have struggled with  understanding physics since high school, yet I enter every class with the mindset that maybe  today it will click. Despite the fact that I need this class for my major (Biology), I am at college  because I hope to learn both inside and outside of the classroom as well as ideally apply what I  learn in school to the real world. Based on my understanding of how I learn so far, I think that I  am more of a ìlisten, write it down, and speak itî type of learner. After being in physics 121/122  and chemistry 115 for a few weeks, I think that visualizing what I am learning is very important. I  hope to use this skill for my current classes and see how this impacts my ability to learn and  understand. Often times I struggle with taking tests so I am hopeful that this semester will take a  positive turn from visualizing my work.","I have struggled with understanding physics since high school, yet I enter every class with the mindset that maybe today it will click."
F19.PHYS122.08.16,"Why am I here?   Throughout my entire life, I have dreamt about working in the medical field. I am here to   make those dreams come true. It started as one of those careers that elementary school kids talk   about when their teacher asks them what they want to be in the future, and my answer was   always a brain surgeon, because how awesome does that sound. But this dream ended up sticking   with me for the duration of my educational career and is the reason that I am attending San   Francisco State today. I find the field to be very interesting and I can see   myself enjoying it for the rest of my life. However, I need to make it through a long and difficult   path of schooling to pursue this dream. Throughout my educational career, I have been pretty   successful in passing all of my courses. General education has been a breeze. Biology and   chemistry courses have been great because they come naturally to me. Math always seems to   give me a little bit of trouble, but I get a hang of it after pushing myself to do the best I can. But   then there's physics, which seems to always give me a little trouble. I am here at SFSU to grow   my knowledge in all of these subjects, which will help me succeed in the future. Looking   forward to a great and productive semester!","Math always seems to give me a little bit of trouble, but I get a hang of it after pushing myself to do the best I can."
F19.PHYS122.08.20,"I am here taking this class because I am a Biology major and need to take this course to  graduate. I have never been that interested in physics in all honesty. I have never been good at  it either. However, taking it in college has allowed me to understand it better than I did in high  school. Physics to me has a lot of complicated parts and a lot of formulas. I think my biggest  problem are word problems. I am not bad at math but I always seem to struggle with word  problems specifically and physics is all word problems. If I dedicated my self to study more and  actually learn physics properly, I know that I would understand it well and be able to apply it to  real life scenarios. This is the last physics course I will be taking in college and I want to make  sure that I finish off strong and feel accomplished because I know physics is an interesting  subject and I would love to know and understand more about it.","I am not bad at math but I always seem to struggle with word problems specifically and physics is all word problems. If I dedicated my self to study more and actually learn physics properly, I know that I would understand it well and be able to apply it to real life scenarios."
F19.PHYS222.01.10,"As an aspiring computer science major, Physics is one of the classes that we need in order to even get into the field. I find Physics to be quite difficult, however I'm taking it in order to have an understanding for it so that I am able to apply it into my computer science work in the future. Although I had taken Physics during high school, I never really excelled in it because I found it too difficult to understand fully. This is why I am taking it again in college. I find it pretty hard to pay attention intently during class, so I didn't take AP Physics, which led me to taking it now. It was hard for me to remember things such as key terms and concepts, and so I'm taking it now because I assume that the pacing is a lot better, and the teaching will be a lot smoother than before.†","Although I had taken Physics during high school, I never really excelled in it because I found it too difficult to understand fully. This is why I am taking it again in college."
F19.PHYS222.01.11,"Why am I here? Good question. Sometimes I ask myself the same thing. With school life it really hasn't been fare to me. At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. †I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 21-22 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along. Even with this kidney stone I still do my best to come to class through the pain. So why am I here? I feel like I am meant to be here.†","At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. /%/ But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along. Even with this kidney stone I still do my best to come to class through the pain."
F19.PHYS222.01.12,"I am here because I think itís important to show up to classes no matter how tired or bored you are. Going to class can be more clear than just reading from a book because you have explanations to help you. Going to a lab is good too because you can see how all the concepts play out. That especially helps me learn because hands-on learning is the best type of learning in my opinion. I will always try my hardest in this class because I feel that this is where I can learn the best.†        I am also here because I want to graduate on time and not fail any of my classes. If I show up to my classes there is a greater likelihood where I pass my classes if I show up. Also, if I do skip class it will just snowball and cause me to skip more classes.",I am here because I think itís important to show up to classes no matter how tired or bored you are. /%/ I will always try my hardest in this class because I feel that this is where I can learn the best.
F19.PHYS222.01.15,"Why am I here?My journey into physics started with my interest in computers. After working in IT for a few years it was inevitable that I return to school and finish my degree if I wanted to proceed further into the field. Physics happens to be a branch of education of my CS degree so that's a majority of the reason I'm taking the class. With that said I've always been a fan of math and science, the idea of why things happen in the real world have crossed my mind but I've never really understood enough to explain what I see. A lot of the people I've talked to dreaded taking physics but so far I've really enjoyed my time in the class. I like gaining the new perspective on what I see and hope to be able to use this knowledge going forward to test or even extend what I know. I came into this knowing the class would be challenging and I'm grateful for that as it continues to keep my attention. I'm prepared for what's ahead and look forward to expanding my understanding of what I already know. My hope for the class as a whole is to go forward in life and take advantage of the information; at the very least be able to make a few cool science experiments for my children when that day eventually comes. -Michael Davichick",I came into this knowing the class would be challenging and I'm grateful for that as it continues to keep my attention.
F19.PHYS222.01.20,"Physics is one of the most difficult subjects I have struggled with in the past. Iím not bad per say, but Iím just worse at it than I am with other classes. I took the class in high school so I have a bit of background, but this obviously only goes so far since it was so long ago and the topics will be much more difficult here in university. In this class, I aim to strengthen my skills and refine my scientific procedure to the max. I am a fan of science and I am upset with all the anti-science bias that the world is seemingly going through right now and the best way to combat that is through education and enlightenment. I am computer science major so it may not be directly related, but the scientific process and experiments as well as the thought process can be transferred universally with all other science fields.","Physics is one of the most difficult subjects I have struggled with in the past. /-/ In this class, I aim to strengthen my skills and refine my scientific procedure to the max. "
F19.PHYS222.06.01,"I am here simply because it is part of the requirements of obtaining my degree. I transferred from SJSU this semester after I switched from being a pre-med student to a computer science major. So I guess Iím here for a Grade is all. Since the journal requirement is minimum one hundred and fifty words I shall continue rambling on.†         I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thatís not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...). Keeping an open mind I am looking forward to this transition and know it will be difficult but after the military nothing really can be that bad, or can it?†         Expectations for this class are high I suppose in the fact that this course takes prerequisites to even get into. Iím here to learn and will try my utmost best to obtain a B grade Iíll take a C but want to aim for a B. The reason A is not mentioned is because I realize the challenge in front of me and with current course load I will be multi-focusing so all my time and effort will not be in this class alone. This is no excuse just a realization and current confidence entering a course containing new subject matter.†","I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thatís not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...). Keeping an open mind I am looking forward to this transition and know it will be difficult but after the military nothing really can be that bad, or can it?"
F19.PHYS222.06.06,"ìWhy am I here?î Thereís a lot of reasons as to why I am here, attending college. I have goals that benefit not just myself but also my family as well. My first year here was stressful, for being given heavy loads of homework each day. I guess that the college experience, but I have made it this long, These past three years have been a quite a challenging journey, adjusting my school schedule with work is still a hassle. Every day, I am encouraged by my family and friends to continue on and remind myself of that I am very close to the finishing line. I am here not to become a failure nor end up like many that called in-quits after their freshmen year. I know the journey will not be linear, I know that I can overcome these harsh barriers that will try to consume me. I will prove to those as to why I am here and what I plan to do after I leave here.†","I know the journey will not be linear, I know that I can overcome these harsh barriers that will try to consume me."
